title	author	DOI_link	DOI	vol	JOURNAL	profile_c
Analysis of the Essential Oil of Indonesian Patchouli (Pogostemon cablin Benth.) Using GC/MS (EI/CI)	"Corinne M.Bure, Nicole M.Sellier"	https://doi.org/10.1080/10412905.2004.9698638	10.1080/10412905.2004.9698638	"VOL. 16, 17-19 (Jan/Feb 2004)"	Journal of Essential Oil Research	JEPcain2004Lea
Analysis of the Essential Oil of Oenanthe crocata L. and Its Biological Activity	"L. Bonsignore , L. Casu , G. Loy , D. Deidda & F. Genco"	https://doi.org/10.1080/10412905.2004.9698717	10.1080/10412905.2004.9698717	"VOL. 16, 266-269 (May/June 2004)"	Journal of Essential Oil Research	JEOcrsaanco2004See
Analysis of the Essential Oil of Oenanthe crocata L. and Its Biological Activity	"L. Bonsignore, L. Casu, G. Loy, D. Deidda, F. Genco"	https://doi.org/10.1080/10412905.2004.9698717	10.1080/10412905.2004.9698717	"VOL. 16, 266-269 (May/June 2004)"	Journal of Essential Oil Research	JEOcrit2004See
Analysis of the Essential Oil of Stachys circinnata I'Her. from Algeria	"S. Laggoune, A. Kabouche, Z. Kabouche, A.M. El-Azzouny"	https://doi.org/10.1080/10412905.2009.9700112	10.1080/10412905.2009.9700112	"VOL. 21, 67-68 (Jan/Feb 2009)"	Journal of Essential Oil Research	JEScial2009Aer
Analysis of the Essential Oils of the Leaves and Flowers/Fruits of Eupatorium cannabinum L. from South Tuscany (Central Italy)	"Guido Flamini, pier Luigi Cioni, lvano Morelli"	https://doi.org/10.1080/10412905.2003.9712088	10.1080/10412905.2003.9712088	"VOL. 15, 127-129 ((Mar/Apr 2003)"	Journal of Essential Oil Research	JEEcamogiit2003lea#JEEcamogiit2003Flo
Analysis of the Hexane From Seven Oleoresins of Protium Species	"Jefferson Rocha de A. Silva, Maria das G.B. Zoghbi, Angelo da C. Pinto, Ronoel L. O. Godoy, Ana Claudia F. Amaral."	https://doi.org/10.1080/10412905.2009.9700178	10.1080/10412905.2009.9700178	"VOL. 21, 305-308 (July/Aug 2009)"	Journal of Essential Oil Research	JEPhebr2009Stept#JEPgrbr2009Ste#JEPhebr2009Stebe#JEPtebr2009Ste#JEPpabr2009Ste#JEPapbr2009Ste#JEPstbr2009Ste
Analysis of the leaf Oil of Syzygium malaccense Merr. et Perry from Nigeria	"A. Karioti , H. Skaltsa & A. A. Gbolade"	https://doi.org/10.1080/10412905.2007.9699290	10.1080/10412905.2007.9699290	"VOL. 19, 313-315 (July/Aug 2007)"	Journal of Essential Oil Research	JESmani2007Lea
Analysis of the Oil of Heracleum persicum L. (Leaves and Flowers)	"F. Sefidkon, M. Dabiri, N. Mohammad"	https://doi.org/10.1080/10412905.2002.9699860	10.1080/10412905.2002.9699860	"VOL. 14, 295-297 (July/Aug 2002)"	Journal of Essential Oil Research	JEHpeir2002Aer#JEHpeir2002Lea
Analysis of the Oil of Heracleum persicum L. (Seeds and Stems)	"F. Sefidkon , M. Dabiri, N. Mohammad"	https://doi.org/10.1080/10412905.2002.9699860	10.1080/10412905.2002.9699860	"VOL. 16, 296-298 (July/Aug 2004)"	Journal of Essential Oil Research	JEHpeir2004Ste#JEHpeir2004see
Analysis of the Oil of Hippomarathrum microcarpum (m.B.) B. Fedtsch. from Iran	"F. Sefidkon , A. Shaabani"	https://doi.org/10.1080/10412905.2003.9712136	10.1080/10412905.2003.9712136	"VOL. 15, 261-262 (July/Aug 2003)"	Journal of Essential Oil Research	JEHmiir2003flo#JEHmiir2003Lea
Analysis of the Oil of Large Cardamom (Amomum subulatum Roxb.) Growing in Sikkim	"P.K.Rout, D.Sahoo, K.S.Jena, Y.R.Rao"	https://doi.org/10.1080/10412905.2003.9712138	10.1080/10412905.2003.9712138	"VOL. 15, 265-266 (July/Aug 2003)"	Journal of Essential Oil Research	JEAsusiin2003See
Analysis of the Oil of Prangos ferulacea (L.) Lindl.	"F. Sefidkon , M. S. Khajavi & B. Malackpour"	https://doi.org/10.1080/10412905.1998.9700845	10.1080/10412905.1998.9700845	"VOL. 10, 81-82 (Jan/Feb 1998)"	Journal of Essential Oil Research	JEPfeho1998See#JEPfeho1998Aer
Analysis of the Volatile Compounds of Psidium cattleianum Sabine Fruit	"Gaston Vernin , Christian Vernin , Jean Claude Pieribattesti & Claude Roque"	https://doi.org/10.1080/10412905.1998.9700923	10.1080/10412905.1998.9700923	"VOL. 10, 353-362 (July/Aug 1998)"	Journal of Essential Oil Research	JEPcareis1998Fru
Analysis of the Volatile Concentrate of the Leaves and Flowers of Helichrysum italicum (Roth) Don ssp. microphyllum (Willd.) Nyman (Asteraceae/Compos) by Supercritical Fluid Extraction and Their Essential Oils	"Bruno Marongiu,Alessandra Piras , Emanuela Desogus, Silvia Porcedda"	https://doi.org/10.1080/10412905.2003.9712087	10.1080/10412905.2003.9712087	VOL. 15 120 (2003)	Journal of Essential Oil Research	JEHitgemaofsa2003lea#JEHitgemaofsa2003flo
Analysis of the Volatile Fraction of Rubus ulmifolius Schott at Two Different Stages.	"C. Caponi, S. Catalano, P.L. Cioni, G. Flamini, I. Morelli."	https://doi.org/10.1080/10412905.2002.9699766	10.1080/10412905.2002.9699766	"VOL. 14, 60-62 (Jan/Feb 2002)"	Journal of Essential Oil Research	JERulit2002Lea#JERulit2002Fer
Analysis of Volatile Components of Fresh Perilla frutescens (L.) Britt var. acuta (Thunb.) Kudo by Headspace GC/MS	"Guogiang Chen, Jiyong Zhang, Yinlong Guo"	https://doi.org/10.1080/10412905.2004.9698765	10.1080/10412905.2004.9698765	"VOL. 16, 435-436 (Sep/Oct 2004)"	Journal of Essential Oil Research	JEPfrch2004Who
