pid,pname,pfid,phid,pgenus
484,Cymbopogon nardus (L.) Rendle,76,1,Cymbopogon
485,Cymbopogon proximus,76,1,Cymbopogon
486,Cymbopogon winterianus,76,1,Cymbopogon
487,Cynara cardunculus,15,1,Cynara
488,Cyperus esculentus,33,2,Cyperus
489,Cyperus maculatus,33,1,Cyperus
490,Cyperus rotundus,33,2,Cyperus
491,Daphnandra apatela,16,1,Daphnandra
492,Daphnandra johnsonii,16,1,Daphnandra
493,Daphnandra melasamena,16,1,Daphnandra
494,Daphnandra micrantha,16,1,Daphnandra
495,Daphnandra repandula,16,1,Daphnandra
496,Daphnandra tenuipes,16,1,Daphnandra
497,Daucus carota,11,1,Daucus
498,Daucus carota ssp. carota,11,1,Daucus
499,Daucus carota ssp. sativus var. Koral,11,1,Daucus
500,Daucus carota ssp. sativus var. Perfekcja,11,1,Daucus
501,Daucus littoralis,11,1,Daucus
502,Decaspermum humile,62,1,Decaspermum
503,Decaspermum struckoilicum,62,1,Decaspermum
504,Dennettia tripetala,9,1,Dennettia
505,Desmos goezeanus,9,1,Desmos
506,Desmos wardianus,9,1,Desmos
507,Dictamnus albus,84,1,Dictamnus
508,Dicyclophora persica,11,1,Dicyclophora
509,Diospyros blancoi,34,1,Diospyros
510,Diplotaenia cachrydifolia,11,1,Diplotaenia
511,Dipteryx odorata,37,1,Dipteryx
512,Dittrichia graveolens,15,1,Dittrichia
513,Doronicum austriacum,15,1,Doronicum
514,Dracocephalum aucheri,47,1,Dracocephalum
515,Dracocephalum kotschyi,47,1,Dracocephalum
516,Dracocephalum moldavica,47,1,Dracocephalum
517,Dracocephalum speciosum,47,1,Dracocephalum
518,Drimys brasiliensis,99,1,Drimys
519,Ducrosia anethifolia,11,1,Ducrosia
520,Ducrosia assadii,11,1,Ducrosia
521,Echinacea purpurea,15,1,Echinacea
522,Echinophora carvifolia,11,1,Echinophora
523,Echinophora chysantha,11,1,Echinophora
524,Echinophora cinerea,11,1,Echinophora
525,Echinophora lamondiana,11,1,Echinophora
526,Echinophora orientalis,11,1,Echinophora
527,Echinophora platyloba,11,1,Echinophora
528,Echinophora tenuifolia,11,1,Echinophora
529,Echinophora tenuifolia ssp. sibthorpiana,11,1,Echinophora
530,Echinophora tournefortii,11,1,Echinophora
531,Echinophora trichophylla,11,1,Echinophora
532,Echinops graecus,15,1,Echinops
533,Echinops ritro,15,1,Echinops
534,Eclipta indica,15,1,Eclipta
535,Elettariopsis elan,101,1,Elettariopsis
536,Elsholtzia blanda,47,1,Elsholtzia
537,Elsholtzia ciliata,47,1,Elsholtzia
538,Elsholtzia densa,47,1,Elsholtzia
539,Elsholtzia fruticosa,47,1,Elsholtzia
540,Elsholtzia incisa,47,1,Elsholtzia
541,Elyonurus muticus,76,1,Elyonurus
542,Eremostachys adenantha,47,1,Eremostachys
543,Eremostachys macrophylla,47,1,Eremostachys
544,Erica manipuliflora Salisb.,35,1,Erica
545,Erichtites hieracifolia,15,1,Erichtites
546,Erigeron acris,15,1,Erigeron
547,Erigeron annuus,15,1,Erigeron
548,Erigeron floribundus,15,1,Erigeron
549,Eryngium billardieri,11,1,Eryngium
550,Eryngium bungei,11,1,Eryngium
551,Eryngium caeruleum,11,1,Eryngium
