	Anethum graveolens	Anethum arvense,Anethum involucratum,Angelica graveolens,Carum graveolens,Celeri graveolens,Ferula graveolens,Heracleum graveolens,Pastinaca anethum,Pastinaca graveolens,Peucedanum anethum,Peucedanum graveolens,Peucedanum graveolens,Peucedanum sowa,Selinum anethum,Selinum graveolens,Sium apium,Sium graveolens,Anethum arvense,Anethum involucratum,Angelica graveolens,Carum graveolens,Celeri graveolens,Ferula graveolens,Heracleum graveolens,Pastinaca anethum,Pastinaca graveolens,Peucedanum anethum,Peucedanum graveolens,Peucedanum graveolens,Peucedanum sowa,Selinum anethum,Selinum graveolens,Sium apium,Sium graveolens
	Anethum graveolens	Anethum arvense,Anethum involucratum,Angelica graveolens,Carum graveolens,Celeri graveolens,Ferula graveolens,Heracleum graveolens,Pastinaca anethum,Pastinaca graveolens,Peucedanum anethum,Peucedanum graveolens,Peucedanum graveolens,Peucedanum sowa,Selinum anethum,Selinum graveolens,Sium apium,Sium graveolens
	Anethum graveolens	Anethum arvense,Anethum involucratum,Angelica graveolens,Carum graveolens,Celeri graveolens,Ferula graveolens,Heracleum graveolens,Pastinaca anethum,Pastinaca graveolens,Peucedanum anethum,Peucedanum graveolens,Peucedanum graveolens,Peucedanum sowa,Selinum anethum,Selinum graveolens,Sium apium,Sium graveolens
	Angelica acutiloba	Apium ternatum,Ligusticum acutilobum,Sium triternatum
	Angelica glauca	Angelica nuristanica
	Aniba riparia	Aiouea guyanensis,Aydendron riparium
	Annona glabra	Annona asiatica,Annona cinerea,Annona forskahlii,Annona glabra,Guanabanus squamosus,Xylopia frutescens,Xylopia glabra,Xylopicron glabrum
	Annona montana	Annona marcgravii,Annona montana marcgravii,Annona pisonis,Annona sphaerocarpa
	Anthemis altissima	Anthemis altissima,Anthemis guicciardii,Anthemis muenteriana,Anthemis tomentosa,Anthemis tomentosa discoidea,Anthemis urvillaeana
	Anthemis carpatica	Anthemis alpina,Anthemis carpatica,Anthemis carpatica balcanica,Anthemis carpatica macedonia,Anthemis carpatica nigra,Anthemis carpatica puberula,Anthemis carpatica pumila,Anthemis carpatica styriaca,Anthemis carpatica subcinerea,Anthemis carpatica subscaposa,Anthemis cretica carpatica,Anthemis grandiflora,Anthemis graveolens,Anthemis kitaibelii,Anthemis montana,Anthemis montana balcanica,Anthemis mucronulata,Anthemis orientalis carpatica,Anthemis styriaca,Anthemis subcinerea,Anthemis subscaposa
	Anthemis montana	Anthemis montana
	Anthemis triumfettii	Anacyclus triumfetti,Anthemis caucasica,Anthemis cossoniana,Anthemis dumetorum,Anthemis khorasanica,Anthemis nigricans,Anthemis palumboi,Anthemis platyglossa,Anthemis rigescens,Anthemis tinctoria flosculosa,Anthemis tinctoria triumfettii,Anthemis triumfettii,Anthemis triumfettii aligulata,Anthemis triumfettii cossoniana,Anthemis triumfettii decumbens,Anthemis triumfettii flosculosa,Anthemis triumfettii khorasanica,Anthemis triumfettii vitellina,Anthemis woronowii,Chamaemelum triumfettii,Cota aligulatae,Cota dumetorum,Cota macrantha vitellina,Cota rigescens,Cota woronowii
	Anthocleista vogelii	Anthocleista auriculata,Anthocleista bequaerti,Anthocleista buchneri,Anthocleista kalbreyeri,Anthocleista lanceolata,Anthocleista macrantha,Anthocleista talbotii,Anthocleista zenkeri
	Anthriscus cerefolium	Anthriscus cerefolium longirostris,Anthriscus chaerophyllus,Anthriscus longirostris,Anthriscus sativa,Anthriscus trachysperma,Anthriscus trichosperma,Cerefolium cerefolium,Cerefolium sativum,Cerefolium sylvestre,Cerefolium trichospermum,Chaerefolium cerefolium,Chaerophyllum cerefolium,Chaerophyllum nemorosum,Chaerophyllum sativum,Scandix cerefolium,Scandix tenuifolia,Scandix trichosperma,Selinum cerefolium
	Apium graveolens	Apium celleri,Apium decumbens,Apium graveolens bashmensis,Apium graveolens butronensis,Apium graveolens butronensis,Apium graveolens lusitanicum,Apium graveolens rapaceum,Apium graveolens rapaceum,Apium integrilobum,Apium lobatum,Apium lusitanicum,Apium maritimum,Apium napaceum,Apium rapaceum,Apium vulgare,Carum graveolens,Celeri graveolens,Helosciadium ruta,Helosciadium rutaceum,Selinum graveolens,Seseli graveolens,Sison ruta,Sison trifidum,Sium apium,Sium graveolens,Smyrnium laterale
	Aquilaria agallocha	Agallochum malaccense,Agallochum officinarum,Aloexylum agallochum,Aloexylum verum,Aquilaria agallochum,Aquilaria moluccensis,Aquilaria ovata,Aquilaria secundaria,Aquilariella malaccensis
