pid	pname	scientificName (gbif)	Normalized name	Details	pfid	phid	Error	kingdom	phylum	class	order	family	genus	species		Synonym 
83	Alpinia smithiae	Alpinia smithiae M.Sabu & J.K.Mangaly	Alpinia smithiae	M.Sabu & J.K.Mangaly	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia smithiae		#N/A
84	Alpinia zerumbet	Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.	Alpinia zerumbet	(Pers.) B.L.Burtt & R.M.Sm.	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Alpinia	Alpinia zerumbet		#N/A
85	Ambrosia artemisiifolia	Ambrosia artemisiifolia L.	Ambrosia artemisiifolia	L.	15	2		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ambrosia	Ambrosia artemisiifolia		#N/A
86	Ambrosia hispida	Ambrosia hispida Pursh	Ambrosia hispida	Pursh	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ambrosia	Ambrosia hispida		#N/A
87	Ambrosia microcephala	Ambrosia microcephala DC.	Ambrosia microcephala	DC.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Ambrosia	Ambrosia microcephala		#N/A
88	Ammodaucus leucotrichus	Ammodaucus leucotrichus Coss.	Ammodaucus leucotrichus	Coss.	10	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ammodaucus	Ammodaucus leucotrichus		#N/A
89	Ammoides atlantica	Ammoides atlantica H.Wolff	Ammoides atlantica	H.Wolff	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ammoides	Ammoides atlantica		#N/A
90	Ammoides pusilla	Ammoides pusilla (Brot.) Breistr.	Ammoides pusilla	(Brot.) Breistr.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Ammoides	Ammoides pusilla		#N/A
91	Amomum subulatum	Amomum subulatum Roxb.	Amomum subulatum	Roxb.	101	1		Plantae	Tracheophyta	Liliopsida	Zingiberales	Zingiberaceae	Amomum	Amomum subulatum		#N/A
92	Amoora rohituka	Amoora rohituka (Roxb.) Wight & Arn.	Amoora rohituka	(Roxb.) Wight & Arn.	55	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Meliaceae	Aphanamixis	Aphanamixis polystachya		Aphanamixis polystachya GBIF 2685484
93	Amyris elimifera	Amyris elemifera L.	Amyris elemifera	L.	84	1	Typographical error in specific epithet	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Rutaceae	Amyris	Amyris elemifera		#N/A
94	Anacardium humile	Anacardium humile St.Hil.	Anacardium humile	St.Hil.	6	1		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Anacardiaceae	Anacardium	Anacardium humile		#N/A
95	Anaphalis contorta	Anaphalis contorta Hook.f.	Anaphalis contorta	Hook.f.	15	1		Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anaphalis	Anaphalis contorta		#N/A
96	Anemia tomentosa var. anthriscifolia	Anemia tomentosa var. anthriscifolia (Schrad.) Mickel	Anemia tomentosa 	var. anthriscifolia (Schrad.) Mickel	8	1		Plantae	Tracheophyta	Polypodiopsida	Schizaeales	Anemiaceae	Anemia	Anemia tomentosa		#N/A
97	Anethum graveolens	Anethum graveolens L.	Anethum graveolens	L.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anethum	Anethum graveolens		#N/A
98	Angelica acutiloba	Angelica acutiloba (Siebold & Zucc.) Kitag.	Angelica acutiloba	(Siebold & Zucc.) Kitag.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica acutiloba		#N/A
99	Angelica archangelica	Angelica archangelica L.	Angelica archangelica	L.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica archangelica		#N/A
100	Angelica glauca	Angelica glauca Edgew.	Angelica glauca	Edgew.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica glauca		#N/A
101	Angelica sylvestris	Angelica sylvestris L.	Angelica sylvestris	L.	11	1		Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Angelica	Angelica sylvestris		#N/A
102	Aniba riparia	Aniba riparia Mez	Aniba riparia	Mez	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	Aniba riparia		#N/A
103	Aniba rosaeodora Ducke	Aniba rosaeodora Ducke	Aniba rosaeodora	Ducke	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	Aniba rosaeodora		#N/A
104	Aniba terminalis	Aniba terminalis Ducke	Aniba terminalis	Ducke	48	1		Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	Aniba terminalis		#N/A
105	Annona cherimolia	Annona cherimolia Mill.	Annona cherimolia	Mill.	9	1		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona cherimolia		#N/A
106	Annona glabra	Annona glabra L.	Annona glabra	L.	9	1		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glabra		#N/A
107	Annona montana	Annona montana Macfad. & R.E.Fr.	Annona montana	Macfad. & R.E.Fr.	9	1		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona montana		#N/A
108	Annona reticulata L.	Annona reticulata L.	Annona reticulata	L.	9	1		Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona reticulata		#N/A
