occurrenceId	verbatimScientificName	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species
	Aniba rosaeodora Ducke	Aniba rosaeodora Ducke	7304518	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	Aniba rosaeodora
	Aniba terminalis	Aniba terminalis Ducke	4180290	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Laurales	Lauraceae	Aniba	Aniba terminalis
	Annona cherimolia	Annona cherimolia Mill.	5541654	EXACT	98	DOUBTFUL	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona cherimolia
	Annona glabra	Annona glabra L.	5407100	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona glabra
	Annona montana	Annona montana Macfad. & R.E.Fr.	5407165	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona montana
	Annona reticulata	Annona reticulata L.	5407123	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Magnoliales	Annonaceae	Annona	Annona reticulata
	Anthemis altissima	Anthemis L.	3122476	HIGHERRANK	96	ACCEPTED	GENUS	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anthemis	
	Anthemis carpatica	Anthemis carpatica Willd.	6064791	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anthemis	Anthemis cretica
	Anthemis montana	Anthemis montana W.D.J.Koch	7451091	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anthemis	Anthemis montana
	Anthemis talyshensis	Anthemis talyschensis A.Fedor.	3102802	FUZZY	96	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cota	Cota talyschensis
	Anthemis tinctoria	Anthemis tinctoria Forssk.	8882615	EXACT	99	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Anthemis	Anthemis tinctoria
	Anthemis triumfettii	Anthemis triumfettii (L.) DC.	3102800	EXACT	99	SYNONYM	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cota	Cota triumfettii
	Anthocleista vogelii	Anthocleista vogelii Planch.	4018973	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Anthocleista	Anthocleista vogelii
	Anthriscus cerefolium	Anthriscus cerefolium Hoffm.	5371746	EXACT	100	ACCEPTED	SPECIES	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anthriscus	Anthriscus cerefolium
